mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
CIC75,265.36,2.88,1,3,1.13,9.24,27.63,0.24,20,5
NCGC EXT_IDNPC-7304765,265.36,2.88,1,3,1.13,9.24,27.63,0.24,20,5
amifostine,214.22,-3.75,4,5,-3.76,2.06,95.58,1,12,7
JHU- 483,214.22,-3.75,4,5,-3.76,2.06,95.58,1,12,7
AMIFOSTINE,214.22,-3.75,4,5,-3.76,2.06,95.58,1,12,7
NCGC EXT_IDNPC-7303630,214.22,-3.75,4,5,-3.76,2.06,95.58,1,12,7
Felbamate,238.243,0.68,2,2,0.68,15,104.64,0.27,17,7
JHU- 3989,238.243,0.68,2,2,0.68,15,104.64,0.27,17,7
FELBAMATE,238.243,0.68,2,2,0.68,15,104.64,0.27,17,7
NCGC EXT_IDNPC-7303277,238.243,0.68,2,2,0.68,15,104.64,0.27,17,7
JHU- 2873,168.038,2.4,0,1,2.4,18.9,9.23,1,10,3
NCGC EXT_IDNPC-7303054,168.038,2.4,0,1,2.4,18.9,9.23,1,10,3
Fluorouracil,130.078,-0.66,2,2,-1.08,7.18,58.2,0,9,0
JHU- 4270,130.078,-0.66,2,2,-1.08,7.18,58.2,0,9,0
FLUOROURACIL,130.078,-0.66,2,2,-1.08,7.18,58.2,0,9,0
NCGC EXT_IDNPC-7303038,130.078,-0.66,2,2,-1.08,7.18,58.2,0,9,0
JHU- 6325,164.96,2.31,0,1,2.31,-4.53,9.23,1,8,2
NCGC EXT_IDNPC-7301971,164.96,2.31,0,1,2.31,-4.53,9.23,1,8,2
methazolamide,236.26,-0.59,1,6,-0.93,7.21,105.19,0.4,14,1
JHU- 6293,236.26,-0.59,1,6,-0.93,7.21,105.19,0.4,14,1
Methazolamide,236.26,-0.59,1,6,-0.93,7.21,105.19,0.4,14,1
NCGC EXT_IDNPC-7301860,236.26,-0.59,1,6,-0.93,7.21,105.19,0.4,14,1
JHU- 9890,337.37,-0.12,2,5,-1.91,2.21,99.6,0.08,22,2
NCGC EXT_IDNPC-7301565,337.37,-0.12,2,5,-1.91,2.21,99.6,0.08,22,2
JHU- 7817,165.236,1.33,2,2,-0.71,10.6,32.26,0.4,12,3
NCGC EXT_IDNPC-7301516,165.236,1.33,2,2,-0.71,10.6,32.26,0.4,12,3
amitriptyline,277.411,4.81,0,1,2.48,9.76,3.24,0.3,21,3
JHU- 532,277.411,4.81,0,1,2.48,9.76,3.24,0.3,21,3
55_FDAMDD_v3b,277.411,4.81,0,1,2.48,9.76,3.24,0.3,21,3
NCGC EXT_IDNPC-7301317,277.411,4.81,0,1,2.48,9.76,3.24,0.3,21,3
JHU- 1655,472.08,-0.07,0,0,-0.07,,0,,4,0
NCGC EXT_IDNPC-7300856,472.08,-0.07,0,0,-0.07,,0,,4,0
azelastine,381.9,4.04,0,3,2.55,8.88,35.91,0.36,27,3
JHU- 914,381.9,4.04,0,3,2.55,8.88,35.91,0.36,27,3
AZELASTINE,381.9,4.04,0,3,2.55,8.88,35.91,0.36,27,3
NCGC EXT_IDNPC-7300525,381.9,4.04,0,3,2.55,8.88,35.91,0.36,27,3
ciprofloxacin,331.347,-0.86,2,6,-0.87,5.56,72.88,0.41,24,3
JHU- 2255,331.347,-0.86,2,6,-0.87,5.56,72.88,0.41,24,3
CIPROFLOXACIN,331.347,-0.86,2,6,-0.87,5.56,72.88,0.41,24,3
NCGC EXT_IDNPC-7300422,331.347,-0.86,2,6,-0.87,5.56,72.88,0.41,24,3
doxylamine,270.376,2.96,0,3,1.48,8.87,25.36,0.35,20,6
JHU- 3354,270.376,2.96,0,3,1.48,8.87,25.36,0.35,20,6
Doxylamine,270.376,2.96,0,3,1.48,8.87,25.36,0.35,20,6
NCGC EXT_IDNPC-7300344,270.376,2.96,0,3,1.48,8.87,25.36,0.35,20,6
JHU- 5237,303.187,3.94,1,1,1.17,10.3,12.03,0.5,14,4
NCGC EXT_IDNPC-7299767,303.187,3.94,1,1,1.17,10.3,12.03,0.5,14,4
ethionamide,166.24,1.33,1,1,1.33,5,38.91,0.25,11,2
JHU- 3799,166.24,1.33,1,1,1.33,5,38.91,0.25,11,2
Ethionamide,166.24,1.33,1,1,1.33,5,38.91,0.25,11,2
NCGC EXT_IDNPC-7299688,166.24,1.33,1,1,1.33,5,38.91,0.25,11,2
JHU- 7936,261.365,3.32,0,2,1.1,9.64,29.54,0.56,19,6
NCGC EXT_IDNPC-7299673,261.365,3.32,0,2,1.1,9.64,29.54,0.56,19,6
JHU- 8413,294.395,2.6,1,4,1.03,8.96,64.79,0.56,21,10
NCGC EXT_IDNPC-7299669,294.395,2.6,1,4,1.03,8.96,64.79,0.56,21,10
JHU- 3851,276.424,4.46,1,2,3.25,8.59,32.34,0.59,20,7
ETIDOCAINE,276.424,4.46,1,2,3.25,8.59,32.34,0.59,20,7
NCGC EXT_IDNPC-7299615,276.424,4.46,1,2,3.25,8.59,32.34,0.59,20,7
JHU- 4648,358.563,5.97,2,3,5.97,13.6,66.76,0.95,25,20
NCGC EXT_IDNPC-7299231,358.563,5.97,2,3,5.97,13.6,66.76,0.95,25,20
chloroquine,319.88,3.93,1,3,0.88,10.3,28.16,0.5,22,8
JHU- 2069,319.88,3.93,1,3,0.88,10.3,28.16,0.5,22,8
NCGC EXT_IDNPC-7299111,319.88,3.93,1,3,0.88,10.3,28.16,0.5,22,8
deferoxamine,560.693,-3.37,6,9,-3.64,10.2,205.84,0.8,39,23
JHU- 2800,560.693,-3.37,6,9,-3.64,10.2,205.84,0.8,39,23
Deferoxamine,560.693,-3.37,6,9,-3.64,10.2,205.84,0.8,39,23
NCGC EXT_IDNPC-7298825,560.693,-3.37,6,9,-3.64,10.2,205.84,0.8,39,23
JHU- 12455,414.539,5.01,3,5,1.98,4.25,113.29,0.82,29,18
NCGC EXT_IDNPC-7298681,414.539,5.01,3,5,1.98,4.25,113.29,0.82,29,18
JHU- 4830,194.274,4.1,2,2,4.1,9.55,40.46,0.5,14,5
Hexylresorcinol,194.274,4.1,2,2,4.1,9.55,40.46,0.5,14,5
NCGC EXT_IDNPC-7298418,194.274,4.1,2,2,4.1,9.55,40.46,0.5,14,5
JHU- 2034,347.68,4.87,1,2,4.87,10.1,49.41,0.82,19,7
NCGC EXT_IDNPC-7298248,347.68,4.87,1,2,4.87,10.1,49.41,0.82,19,7
JHU- 3802,146.23,1.16,2,2,1.16,14.8,40.46,1,10,5
NCGC EXT_IDNPC-7298168,146.23,1.16,2,2,1.16,14.8,40.46,1,10,5
JHU- 6270,295.426,4.59,0,2,3.15,8.83,20.31,0.35,22,7
NCGC EXT_IDNPC-7297839,295.426,4.59,0,2,3.15,8.83,20.31,0.35,22,7
JHU- 1366,243.167,-1.12,0,0,-1.12,17.6,0,0.45,13,3
NCGC EXT_IDNPC-7297345,243.167,-1.12,0,0,-1.12,17.6,0,0.45,13,3
JHU- 10871,244.382,3.78,1,2,1.49,10.3,24.39,0.56,18,3
NCGC EXT_IDNPC-7297281,244.382,3.78,1,2,1.49,10.3,24.39,0.56,18,3
avobenzone,310.393,4.52,1,3,3.62,6.55,46.53,0.25,23,5
JHU- 873,310.393,4.52,1,3,3.62,6.55,46.53,0.25,23,5
NCGC EXT_IDNPC-7297241,310.393,4.52,1,3,3.62,6.55,46.53,0.25,23,5
JHU- 8767,179.307,2.22,1,1,-0.35,10.1,26.02,1,13,1
CIC1035,179.307,2.22,1,1,-0.35,10.1,26.02,1,13,1
NCGC EXT_IDNPC-7297113,179.307,2.22,1,1,-0.35,10.1,26.02,1,13,1
bupropion,239.74,3.27,1,2,2.39,8.22,29.1,0.46,16,4
JHU- 1484,239.74,3.27,1,2,2.39,8.22,29.1,0.46,16,4
BUPROPION,239.74,3.27,1,2,2.39,8.22,29.1,0.46,16,4
NCGC EXT_IDNPC-7297042,239.74,3.27,1,2,2.39,8.22,29.1,0.46,16,4
JHU- 5388,184.147,1.76,0,1,1.76,-9.65,35.53,1,11,4
NCGC EXT_IDNPC-7297006,184.147,1.76,0,1,1.76,-9.65,35.53,1,11,4
chlorthalidone,338.76,1.6,3,4,1.59,9.03,109.49,0.07,22,2
JHU- 2099,338.76,1.6,3,4,1.59,9.03,109.49,0.07,22,2
Chlorthalidone,338.76,1.6,3,4,1.59,9.03,109.49,0.07,22,2
NCGC EXT_IDNPC-7296514,338.76,1.6,3,4,1.59,9.03,109.49,0.07,22,2
atenolol,266.341,0.43,3,4,-1.8,9.67,84.58,0.5,19,8
JHU- 832,266.341,0.43,3,4,-1.8,9.67,84.58,0.5,19,8
ATENOLOL,266.341,0.43,3,4,-1.8,9.67,84.58,0.5,19,8
NCGC EXT_IDNPC-7296513,266.341,0.43,3,4,-1.8,9.67,84.58,0.5,19,8
JHU- 3103,448.336,2.16,3,8,-1.06,3.91,182.96,0.15,32,10
NCGC EXT_IDNPC-7296194,448.336,2.16,3,8,-1.06,3.91,182.96,0.15,32,10
ioxilan,791.116,-1.32,7,8,-1.32,11.7,179.66,0.5,32,11
JHU- 5294,791.116,-1.32,7,8,-1.32,11.7,179.66,0.5,32,11
NCGC EXT_IDNPC-7295846,791.116,-1.32,7,8,-1.32,11.7,179.66,0.5,32,11
JHU- 6541,184.207,-1.24,6,8,-3.92,9.06,148.52,0.2,13,3
NCGC EXT_IDNPC-7295751,184.207,-1.24,6,8,-3.92,9.06,148.52,0.2,13,3
JHU- 7938,233.311,2.42,0,3,1.41,8.36,21.7,0.57,17,2
NCGC EXT_IDNPC-7295587,233.311,2.42,0,3,1.41,8.36,21.7,0.57,17,2
JHU- 170,501.477,3.06,1,8,3.06,3.75,166.98,0.65,34,15
NCGC EXT_IDNPC-7295584,501.477,3.06,1,8,3.06,3.75,166.98,0.65,34,15
JHU- 1130,108.14,1.21,1,1,1.21,15,20.23,0.14,8,1
Benzyl alcohol,108.14,1.21,1,1,1.21,15,20.23,0.14,8,1
NCGC EXT_IDNPC-7295549,108.14,1.21,1,1,1.21,15,20.23,0.14,8,1
JHU- 7937,338.444,4.1,0,5,4.1,-3.64,46.15,0.68,24,13
NCGC EXT_IDNPC-7295288,338.444,4.1,0,5,4.1,-3.64,46.15,0.68,24,13
JHU- 12603,204.38,0.03,0,0,0.03,,0,,1,0
NCGC EXT_IDNPC-7295216,204.38,0.03,0,0,0.03,,0,,1,0
JHU- 9816,97,0,0,0,0,,0,,1,0
NCGC EXT_IDNPC-7295017,97,0,0,0,0,,0,,1,0
JHU- 1152,336.366,-1.28,0,4,-1.28,-4.38,40.8,0.25,25,2
NCGC EXT_IDNPC-7294898,336.366,-1.28,0,4,-1.28,-4.38,40.8,0.25,25,2
JHU- 3292,422.58,5.24,1,5,2.86,-0.75,106.97,0.9,28,18
NCGC EXT_IDNPC-7294846,422.58,5.24,1,5,2.86,-0.75,106.97,0.9,28,18
JHU- 6437,179.263,2.46,1,2,0.53,9.37,35.25,0.45,13,3
NCGC EXT_IDNPC-7294742,179.263,2.46,1,2,0.53,9.37,35.25,0.45,13,3
JHU- 6117,334.157,1.56,4,6,-4.68,1.47,133.52,0.09,21,4
NCGC EXT_IDNPC-7294649,334.157,1.56,4,6,-4.68,1.47,133.52,0.09,21,4
JHU- 1054,421.41,1.7,3,5,1.69,9.04,118.36,0.2,27,4
Bendroflumethiazide,421.41,1.7,3,5,1.69,9.04,118.36,0.2,27,4
NCGC EXT_IDNPC-7294568,421.41,1.7,3,5,1.69,9.04,118.36,0.2,27,4
JHU- 5977,693.396,-1.95,8,16,-14.91,1.44,280.84,0.45,43,17
NCGC EXT_IDNPC-7294394,693.396,-1.95,8,16,-14.91,1.44,280.84,0.45,43,17
bumetanide,364.42,2.42,3,5,-0.13,4.69,118.72,0.24,25,8
JHU- 1470,364.42,2.42,3,5,-0.13,4.69,118.72,0.24,25,8
BUMETANIDE,364.42,2.42,3,5,-0.13,4.69,118.72,0.24,25,8
NCGC EXT_IDNPC-7294316,364.42,2.42,3,5,-0.13,4.69,118.72,0.24,25,8
JHU- 503,194.19,-1.01,3,4,-3.6,2.7,92.42,0.11,14,3
Aminohippuric acid,194.19,-1.01,3,4,-3.6,2.7,92.42,0.11,14,3
NCGC EXT_IDNPC-7294225,194.19,-1.01,3,4,-3.6,2.7,92.42,0.11,14,3
JHU- 111,556.864,3.66,2,3,0.14,2.33,66.4,0.11,16,2
Acetrizoic acid,556.864,3.66,2,3,0.14,2.33,66.4,0.11,16,2
NCGC EXT_IDNPC-7294193,556.864,3.66,2,3,0.14,2.33,66.4,0.11,16,2
JHU- 3242,311.36,-0.82,1,6,-2.25,-1.42,81.16,0.31,21,4
NCGC EXT_IDNPC-7293980,311.36,-0.82,1,6,-2.25,-1.42,81.16,0.31,21,4
(+/-)-THIOPENTAL,242.34,2.78,2,2,2.38,7.2,58.2,0.73,16,4
JHU- 10045,242.34,2.78,2,2,2.38,7.2,58.2,0.73,16,4
CIC1128,242.34,2.78,2,2,2.38,7.2,58.2,0.73,16,4
NCGC EXT_IDNPC-7293952,242.34,2.78,2,2,2.38,7.2,58.2,0.73,16,4
JHU- 7770,138.166,1.13,1,2,1.13,15.1,29.46,0.25,10,3
NCGC EXT_IDNPC-7293772,138.166,1.13,1,2,1.13,15.1,29.46,0.25,10,3
JHU- 6771,128.174,2.96,0,0,2.96,,0,0,10,0
NCGC EXT_IDNPC-7293717,128.174,2.96,0,0,2.96,,0,0,10,0
JHU- 1672,232.29,0.98,1,4,-1.39,-0.81,71.44,0.9,15,2
NCGC EXT_IDNPC-7293402,232.29,0.98,1,4,-1.39,-0.81,71.44,0.9,15,2
JHU- 6296,140.19,0.39,0,4,0.38,5.88,12.96,1,10,0
NCGC EXT_IDNPC-7293399,140.19,0.39,0,4,0.38,5.88,12.96,1,10,0
JHU- 9362,332.353,-2.24,5,9,-3.18,9.23,129.51,0.93,23,2
1052_FDAMDD_v3b,332.353,-2.24,5,9,-3.18,9.23,129.51,0.93,23,2
NCGC EXT_IDNPC-7293039,332.353,-2.24,5,9,-3.18,9.23,129.51,0.93,23,2
lidocaine,234.343,2.84,1,2,2.33,7.75,32.34,0.5,17,5
JHU- 5722,234.343,2.84,1,2,2.33,7.75,32.34,0.5,17,5
NCGC EXT_IDNPC-7292973,234.343,2.84,1,2,2.33,7.75,32.34,0.5,17,5
JHU- 6343,304.409,-2.59,1,2,-2.59,15.1,46.53,0.61,22,5
NCGC EXT_IDNPC-7292896,304.409,-2.59,1,2,-2.59,15.1,46.53,0.61,22,5
JHU- 8224,111.144,0.15,0,1,0.15,-5.04,20.31,0.5,8,1
NCGC EXT_IDNPC-7292660,111.144,0.15,0,1,0.15,-5.04,20.31,0.5,8,1
JHU- 6335,145.158,-0.85,1,3,-1.42,7.83,69.39,0.67,10,5
NCGC EXT_IDNPC-7292457,145.158,-0.85,1,3,-1.42,7.83,69.39,0.67,10,5
ioversol,807.115,-2.14,8,9,-2.14,11.7,199.89,0.5,33,12
JHU- 5289,807.115,-2.14,8,9,-2.14,11.7,199.89,0.5,33,12
NCGC EXT_IDNPC-7291192,807.115,-2.14,8,9,-2.14,11.7,199.89,0.5,33,12
monobenzone,200.237,3.24,1,2,3.24,9.91,29.46,0.08,15,3
JHU- 6598,200.237,3.24,1,2,3.24,9.91,29.46,0.08,15,3
NCGC EXT_IDNPC-7291025,200.237,3.24,1,2,3.24,9.91,29.46,0.08,15,3
Deferasirox,373.368,4.74,3,6,1.89,4.51,108.47,0,28,4
JHU- 2795,373.368,4.74,3,6,1.89,4.51,108.47,0,28,4
NCGC EXT_IDNPC-7290754,373.368,4.74,3,6,1.89,4.51,108.47,0,28,4
JHU- 9470,181.191,0.68,2,2,0.68,13.7,72.55,0.22,13,4
NCGC EXT_IDNPC-7289430,181.191,0.68,2,2,0.68,13.7,72.55,0.22,13,4
enflurane,184.49,2.8,0,1,2.8,-4.98,9.23,1,10,3
JHU- 3574,184.49,2.8,0,1,2.8,-4.98,9.23,1,10,3
NCGC EXT_IDNPC-7288980,184.49,2.8,0,1,2.8,-4.98,9.23,1,10,3
droperidol,379.435,3.01,1,3,2.93,6.75,52.65,0.27,28,6
JHU- 3374,379.435,3.01,1,3,2.93,6.75,52.65,0.27,28,6
CIC442,379.435,3.01,1,3,2.93,6.75,52.65,0.27,28,6
NCGC EXT_IDNPC-7288866,379.435,3.01,1,3,2.93,6.75,52.65,0.27,28,6
JHU- 10919,2639.14,-22.66,42,43,-35.61,12.2,1133.84,0.67,177,38
NCGC EXT_IDNPC-7288822,2639.14,-22.66,42,43,-35.61,12.2,1133.84,0.67,177,38
JHU- 441,378.428,2.97,1,6,0.4,3.08,81.54,0.23,28,7
NCGC EXT_IDNPC-7288120,378.428,2.97,1,6,0.4,3.08,81.54,0.23,28,7
JHU- 820,458.581,5.39,1,4,4.01,8.73,42.32,0.32,34,8
ASTEMIZOLE,458.581,5.39,1,4,4.01,8.73,42.32,0.32,34,8
NCGC EXT_IDNPC-7287321,458.581,5.39,1,4,4.01,8.73,42.32,0.32,34,8
JHU- 8784,179.219,2.03,1,2,2.03,2.81,52.32,0.3,13,4
NCGC EXT_IDNPC-7283955,179.219,2.03,1,2,2.03,2.81,52.32,0.3,13,4
cyclopentolate,291.391,2.32,1,3,1.26,8.42,49.77,0.59,21,7
JHU- 2668,291.391,2.32,1,3,1.26,8.42,49.77,0.59,21,7
NCGC EXT_IDNPC-7283300,291.391,2.32,1,3,1.26,8.42,49.77,0.59,21,7
JHU- 6625,427.52,3.07,1,5,2.99,6.73,71.11,0.36,30,6
Moricizine,427.52,3.07,1,5,2.99,6.73,71.11,0.36,30,6
NCGC EXT_IDNPC-7283048,427.52,3.07,1,5,2.99,6.73,71.11,0.36,30,6
Halofantrine,500.43,8.06,1,2,5.46,10.1,23.47,0.46,33,11
JHU- 4743,500.43,8.06,1,2,5.46,10.1,23.47,0.46,33,11
579_FDAMDD_v3b,500.43,8.06,1,2,5.46,10.1,23.47,0.46,33,11
NCGC EXT_IDNPC-7283014,500.43,8.06,1,2,5.46,10.1,23.47,0.46,33,11
JHU- 1126,404.507,1.42,0,5,0.8,7.9,68.31,0.64,29,7
Benzquinamide,404.507,1.42,0,5,0.8,7.9,68.31,0.64,29,7
NCGC EXT_IDNPC-7282742,404.507,1.42,0,5,0.8,7.9,68.31,0.64,29,7
JHU- 3551,145.202,1.69,1,1,1.69,15.9,52.32,0.86,10,4
NCGC EXT_IDNPC-7282108,145.202,1.69,1,1,1.69,15.9,52.32,0.86,10,4
JHU- 6983,187.17,0.66,1,4,0.48,7.67,85.13,0.2,12,2
NCGC EXT_IDNPC-7280392,187.17,0.66,1,4,0.48,7.67,85.13,0.2,12,2
JHU- 3159,292.426,3.74,0,2,1.46,9.7,16.13,0.35,22,5
CIC410,292.426,3.74,0,2,1.46,9.7,16.13,0.35,22,5
NCGC EXT_IDNPC-7279155,292.426,3.74,0,2,1.46,9.7,16.13,0.35,22,5
fenofibrate,360.83,5.28,0,3,5.28,-4.93,52.6,0.3,25,7
JHU- 4044,360.83,5.28,0,3,5.28,-4.93,52.6,0.3,25,7
NCGC EXT_IDNPC-7279045,360.83,5.28,0,3,5.28,-4.93,52.6,0.3,25,7
JHU- 3923,872.87,-1.12,8,20,-3.8,-3.36,352.44,0.06,58,9
NCGC EXT_IDNPC-7278490,872.87,-1.12,8,20,-3.8,-3.36,352.44,0.06,58,9
JHU- 10079,550.219,8.17,0,2,8.17,-4.87,18.46,0.4,24,5
NCGC EXT_IDNPC-7278009,550.219,8.17,0,2,8.17,-4.87,18.46,0.4,24,5
losartan,422.92,5,2,5,3.82,5.85,92.51,0.27,30,8
JHU- 5860,422.92,5,2,5,3.82,5.85,92.51,0.27,30,8
LOSARTAN,422.92,5,2,5,3.82,5.85,92.51,0.27,30,8
NCGC EXT_IDNPC-7277812,422.92,5,2,5,3.82,5.85,92.51,0.27,30,8
JHU- 9997,261.39,2.98,0,3,1.6,8.76,19.37,0.36,18,6
NCGC EXT_IDNPC-7276681,261.39,2.98,0,3,1.6,8.76,19.37,0.36,18,6
JHU- 1976,360.649,4.41,0,0,4.41,18.1,0,0.76,26,17
NCGC EXT_IDNPC-7276171,360.649,4.41,0,0,4.41,18.1,0,0.76,26,17
gabapentin,171.24,-1.27,2,3,-1.27,4.63,63.32,0.89,12,3
JHU- 4453,171.24,-1.27,2,3,-1.27,4.63,63.32,0.89,12,3
GABAPENTIN,171.24,-1.27,2,3,-1.27,4.63,63.32,0.89,12,3
NCGC EXT_IDNPC-7274536,171.24,-1.27,2,3,-1.27,4.63,63.32,0.89,12,3
altretamine,210.285,2.22,0,6,0.94,8.75,48.39,0.67,15,3
JHU- 375,210.285,2.22,0,6,0.94,8.75,48.39,0.67,15,3
ALTRETAMINE,210.285,2.22,0,6,0.94,8.75,48.39,0.67,15,3
NCGC EXT_IDNPC-7274528,210.285,2.22,0,6,0.94,8.75,48.39,0.67,15,3
carbamazepine,236.274,2.77,1,1,2.77,16,46.33,0,18,0
JHU- 1727,236.274,2.77,1,1,2.77,16,46.33,0,18,0
Carbamazepine,236.274,2.77,1,1,2.77,16,46.33,0,18,0
NCGC EXT_IDNPC-7274469,236.274,2.77,1,1,2.77,16,46.33,0,18,0
JHU- 4914,151.209,1,2,2,-0.97,9.8,46.25,0.33,11,2
Hydroxyamphetamide,151.209,1,2,2,-0.97,9.8,46.25,0.33,11,2
NCGC EXT_IDNPC-7274468,151.209,1,2,2,-0.97,9.8,46.25,0.33,11,2
lorazepam,321.16,3.53,2,3,3.53,10.6,61.69,0.07,21,1
JHU- 5849,321.16,3.53,2,3,3.53,10.6,61.69,0.07,21,1
CIC695,321.16,3.53,2,3,3.53,10.6,61.69,0.07,21,1
NCGC EXT_IDNPC-7274463,321.16,3.53,2,3,3.53,10.6,61.69,0.07,21,1
JHU- 8881,263.037,0.6,3,6,-2.38,3.32,120.9,0,14,2
NCGC EXT_IDNPC-7273938,263.037,0.6,3,6,-2.38,3.32,120.9,0,14,2
Coumarin,146.145,1.78,0,1,1.78,-6.94,26.3,0,11,0
JHU- 2578,146.145,1.78,0,1,1.78,-6.94,26.3,0,11,0
Coumarin,146.145,1.78,0,1,1.78,-6.94,26.3,0,11,0
NCGC EXT_IDNPC-7273777,146.145,1.78,0,1,1.78,-6.94,26.3,0,11,0
JHU- 2150,207.273,2.22,1,2,1.56,6.84,40.54,0.58,15,1
NCGC EXT_IDNPC-7273365,207.273,2.22,1,2,1.56,6.84,40.54,0.58,15,1
JHU- 2691,287.406,4.38,0,1,3.65,8.05,3.24,0.24,22,0
333_FDAMDD_v3b,287.406,4.38,0,1,3.65,8.05,3.24,0.24,22,0
NCGC EXT_IDNPC-7273121,287.406,4.38,0,1,3.65,8.05,3.24,0.24,22,0
minoxidil,209.253,0,2,5,0,1.69,95.11,0.56,15,1
JHU- 6510,209.253,0,2,5,0,1.69,95.11,0.56,15,1
NCGC EXT_IDNPC-7272775,209.253,0,2,5,0,1.69,95.11,0.56,15,1
clomipramine,314.86,4.88,0,2,3.09,9.2,6.48,0.37,22,4
JHU- 2382,314.86,4.88,0,2,3.09,9.2,6.48,0.37,22,4
CIC309,314.86,4.88,0,2,3.09,9.2,6.48,0.37,22,4
NCGC EXT_IDNPC-7271023,314.86,4.88,0,2,3.09,9.2,6.48,0.37,22,4
JHU- 10061,240.42,2.73,0,0,2.73,,6.48,0.67,12,3
NCGC EXT_IDNPC-7270870,240.42,2.73,0,0,2.73,,6.48,0.67,12,3
JHU- 10619,252.1,0.41,2,3,0.39,8.76,61.44,0.5,15,5
NCGC EXT_IDNPC-7270061,252.1,0.41,2,3,0.39,8.76,61.44,0.5,15,5
JHU- 504,131.131,-3.25,2,4,-3.37,4.05,80.39,0.6,9,4
NCGC EXT_IDNPC-7269961,131.131,-3.25,2,4,-3.37,4.05,80.39,0.6,9,4
JHU- 10063,286.379,2.42,0,5,1.18,8.62,41.49,0.38,21,7
NCGC EXT_IDNPC-7269951,286.379,2.42,0,5,1.18,8.62,41.49,0.38,21,7
JHU- 7915,399.51,3.77,0,5,2.2,8.96,54.9,0.43,28,7
NCGC EXT_IDNPC-7269921,399.51,3.77,0,5,2.2,8.96,54.9,0.43,28,7
JHU- 1823,292.379,1.42,3,4,-0.89,9.76,70.59,0.56,21,6
CARTEOLOL,292.379,1.42,3,4,-0.89,9.76,70.59,0.56,21,6
NCGC EXT_IDNPC-7269594,292.379,1.42,3,4,-0.89,9.76,70.59,0.56,21,6
JHU- 3814,408.362,1.67,2,5,-2.55,4.82,119.36,0.14,30,5
NCGC EXT_IDNPC-7269307,408.362,1.67,2,5,-2.55,4.82,119.36,0.14,30,5
JHU- 1720,289.419,4.01,0,2,2.44,8.96,29.54,0.61,21,8
Caramiphen,289.419,4.01,0,2,2.44,8.96,29.54,0.61,21,8
NCGC EXT_IDNPC-7269146,289.419,4.01,0,2,2.44,8.96,29.54,0.61,21,8
JHU- 1105,165.192,1.5,1,2,1.5,2.78,52.32,0.22,12,3
Benzocaine,165.192,1.5,1,2,1.5,2.78,52.32,0.22,12,3
NCGC EXT_IDNPC-7268715,165.192,1.5,1,2,1.5,2.78,52.32,0.22,12,3
N-acetylprocainamide,277.368,1.02,2,3,-0.63,9.04,61.44,0.47,20,7
JHU- 68,277.368,1.02,2,3,-0.63,9.04,61.44,0.47,20,7
NCGC EXT_IDNPC-7268675,277.368,1.02,2,3,-0.63,9.04,61.44,0.47,20,7
JHU- 7911,356.44,3.4,1,4,3.23,7.32,68.29,0.32,25,7
NCGC EXT_IDNPC-7267991,356.44,3.4,1,4,3.23,7.32,68.29,0.32,25,7
JHU- 2579,228.295,2.08,1,2,-0.11,9.99,37.53,0.36,17,3
NCGC EXT_IDNPC-7267946,228.295,2.08,1,2,-0.11,9.99,37.53,0.36,17,3
JHU- 4694,359.401,0.07,2,6,0.07,5.68,72.88,0.47,26,3
NCGC EXT_IDNPC-7267646,359.401,0.07,2,6,0.07,5.68,72.88,0.47,26,3
JHU- 7301,157.213,1.17,1,2,1.17,16,55.62,0.88,11,4
NCGC EXT_IDNPC-7267639,157.213,1.17,1,2,1.17,16,55.62,0.88,11,4
Flumecinol,280.29,4.53,1,1,4.53,13.3,20.23,0.25,20,4
JHU- 4232,280.29,4.53,1,1,4.53,13.3,20.23,0.25,20,4
NCGC EXT_IDNPC-7267283,280.29,4.53,1,1,4.53,13.3,20.23,0.25,20,4
JHU- 511,231.299,1.15,0,3,1.15,3.66,26.79,0.31,17,2
NCGC EXT_IDNPC-7267264,231.299,1.15,0,3,1.15,3.66,26.79,0.31,17,2
JHU- 4921,209.245,1.49,2,2,1.49,13.3,72.55,0.36,15,5
NCGC EXT_IDNPC-7267143,209.245,1.49,2,2,1.49,13.3,72.55,0.36,15,5
JHU- 2640,276.376,3.72,1,2,3.72,12,46.53,0.59,20,4
Cyclandelate,276.376,3.72,1,2,3.72,12,46.53,0.59,20,4
NCGC EXT_IDNPC-7267002,276.376,3.72,1,2,3.72,12,46.53,0.59,20,4
dipyridamole,504.636,1.81,4,12,1.81,3.54,145.44,0.75,36,12
JHU- 3239,504.636,1.81,4,12,1.81,3.54,145.44,0.75,36,12
NCGC EXT_IDNPC-7266882,504.636,1.81,4,12,1.81,3.54,145.44,0.75,36,12
celecoxib,381.37,4.01,1,3,4.01,10.6,77.98,0.12,26,4
JHU- 1933,381.37,4.01,1,3,4.01,10.6,77.98,0.12,26,4
CELECOXIB,381.37,4.01,1,3,4.01,10.6,77.98,0.12,26,4
NCGC EXT_IDNPC-7266743,381.37,4.01,1,3,4.01,10.6,77.98,0.12,26,4
JHU- 10258,192.262,1.88,2,2,1,8.23,55.12,0.36,14,2
NCGC EXT_IDNPC-7266474,192.262,1.88,2,2,1,8.23,55.12,0.36,14,2
